word,pos_tag,spoken_frequency_zipf,log_phonotactic_probability,lexical_competition_risk,phonetic_instability,cluster_label
time,NOUN,6.29,-7.118241769903304,44.62,0,2
get,VERB,6.28,-6.00253358347889,70.64,1,4
would,VERB,6.27,-7.964256803949865,22.4,1,2
new,ADJ,6.25,-6.1996554485700095,22.0,0,2
people,NOUN,6.25,-5.16496724035128,0.0,1,2
also,ADV,6.19,-7.203509846524804,0.0,0,2
good,ADJ,6.12,-8.399143524642422,32.03,1,2
first,ADV,6.11,-5.156042063572308,14.55,1,2
know,VERB,6.1,-7.023278370237676,73.18,0,4
see,VERB,6.1,-6.0006506100882575,100.49,0,4
make,VERB,6.08,-6.84066688653133,70.86999999999999,1,4
think,NOUN,6.08,-5.134027406251538,40.46,1,2
could,VERB,6.06,-8.378692914171133,31.89,1,2
back,ADV,6.04,-6.011361178822439,49.85,1,2
want,NOUN,6.04,-5.505230841002268,20.5,1,2
go,VERB,6.03,-7.446311876486439,68.03,0,4
well,ADV,6.03,-6.234662857500918,67.91,0,4
said,VERB,6.01,-6.098657852410237,82.62000000000002,1,4
way,NOUN,6.01,-6.737337626691007,92.60000000000002,0,4
much,ADJ,6.0,-5.68288045191672,10.04,0,2
even,ADV,5.99,-4.7224368549846885,0.0,0,2
may,VERB,5.98,-6.796652282970727,93.26,0,4
need,NOUN,5.97,-6.321453048641367,10.04,1,2
really,ADV,5.97,-5.083693202375456,0.0,0,2
right,NOUN,5.96,-6.302636355895939,89.75,1,4
work,NOUN,5.96,-6.774676488766634,50.66,1,2
year,NOUN,5.96,-6.4621660197898185,24.84,0,2
years,NOUN,5.96,-5.807527629046176,5.96,1,2
day,NOUN,5.95,-7.244683619602967,88.29,0,4
going,VERB,5.94,-5.19857882461081,14.58,0,2
made,VERB,5.92,-6.789732272121147,64.7,1,4
still,ADV,5.92,-4.641669246201084,19.37,0,2
take,VERB,5.92,-6.461173819680894,45.64999999999999,1,2
got,VERB,5.91,-7.030273256805461,47.07,1,2
many,ADJ,5.91,-5.605543859634206,20.87,0,2
never,ADV,5.91,-6.478873168276164,5.66,0,2
life,NOUN,5.89,-6.592579642221434,35.82,1,2
say,VERB,5.89,-7.45700992936791,104.75,0,4
world,NOUN,5.89,-6.508281415926929,14.689999999999998,1,2
great,ADJ,5.88,-5.449784649906113,28.35,1,2
last,ADJ,5.86,-5.241634621376049,40.8,1,2
best,ADJ,5.84,-5.052460917083115,39.66,1,2
love,NOUN,5.82,-5.517653176519419,25.45,1,2
man,NOUN,5.82,-5.36091004872542,83.21999999999998,0,4
home,NOUN,5.81,-7.262218385124269,20.25,0,2
long,ADV,5.81,-7.326168857876729,35.09,0,2
look,NOUN,5.81,-8.128874242143043,45.23,1,4
something,NOUN,5.81,-5.158953764369366,0.0,0,2
use,NOUN,5.81,-6.115382865178078,19.82,1,2
used,VERB,5.8,-6.316862332460948,4.69,1,2
come,VERB,5.78,-4.907063427117177,39.55,0,2
part,NOUN,5.78,-5.653082706370426,40.3,1,2
state,NOUN,5.78,-4.892890925854114,30.34,1,2
always,ADV,5.76,-6.643700137161512,0.0,1,2
better,ADV,5.76,-5.760444893874762,9.74,0,2
find,VERB,5.76,-5.6445611899980825,50.010000000000005,1,2
help,NOUN,5.75,-6.633029275090636,25.4,1,2
high,ADJ,5.75,-7.359746117027235,54.11,0,4
little,ADJ,5.75,-4.686947647477319,0.0,1,2
old,ADJ,5.75,-6.176975183615341,35.57,1,2
things,NOUN,5.74,-5.187772910756196,11.8,1,2
game,NOUN,5.72,-7.3995465443511454,45.04,0,4
thing,NOUN,5.72,-4.830903337424248,39.88,0,2
give,VERB,5.71,-6.321458612465383,14.740000000000002,1,2
house,NOUN,5.71,-7.955379819937328,0.0,1,2
place,NOUN,5.71,-5.730033025201924,34.99,1,2
school,NOUN,5.71,-6.453588899544281,15.03,0,2
next,ADJ,5.7,-5.055945470453348,5.01,1,2
mr,NOUN,5.69,-4.757150722281144,14.71,0,2
end,NOUN,5.68,-4.941661622793626,38.18,1,2
