word,spoken_frequency_zipf,mixture_phonotactic_probability,mixture_competition_risk,mixture_phonetic_instability,prob_strong_form
the,7.73,-10.548466677283175,24.299999999999997,0.6666666666666666,0.3333333333333333
to,7.43,-5.861282681710595,51.36666666666667,0.6666666666666666,0.3333333333333333
and,7.41,-4.634145903876047,34.66,0.5,0.5
of,7.4,-7.527786639534264,18.815,0.5,0.5
a,7.36,-10.0,71.81,0.5,0.5
in,7.27,-5.381721624395528,71.38,0.5,0.5
i,7.09,-10.0,82.77000000000001,0.0,1.0
is,7.07,-6.9158687050796885,38.459999999999994,0.5,0.5
for,7.01,-6.741062010994385,47.88333333333334,1.3333333333333333,0.3333333333333333
that,7.01,-8.326629232447377,27.745000000000005,0.5,0.5
you,6.98,-6.23871184672876,84.92,0.0,1.0
it,6.95,-6.224096868313428,64.88499999999999,0.5,0.5
on,6.91,-6.5665175826040745,69.85,0.5,0.5
with,6.85,-8.293934992688959,19.97,1.0,0.25
this,6.82,-8.550136155951625,13.219999999999999,0.5,0.5
was,6.82,-7.804177661628561,33.1075,0.75,0.25
be,6.79,-7.213049118094826,81.58000000000001,0.5,0.5
as,6.77,-8.172121478013569,77.94,0.5,0.5
are,6.74,-7.559574178686825,44.129999999999995,1.0,0.5
have,6.71,-7.124326467912784,27.240000000000002,0.0,1.0
at,6.7,-6.4733464194107375,112.32,0.0,1.0
he,6.69,-8.113617206880868,158.17000000000004,0.0,1.0
not,6.69,-6.743982787609339,52.41,0.0,1.0
by,6.66,-7.9813492383031175,81.76000000000002,0.0,1.0
but,6.63,-7.27154464006488,46.02,0.0,1.0
from,6.63,-6.75429415645144,4.6850000000000005,1.0,0.5
my,6.57,-7.572938619965196,97.78,0.0,1.0
or,6.54,-7.554292439432039,59.46000000000001,1.0,0.5
we,6.54,-7.422998472674281,145.92000000000004,0.0,1.0
an,6.53,-4.388787288280229,94.88499999999999,0.5,0.5
your,6.53,-7.381205950296531,47.225,0.5,0.5
all,6.52,-6.627660351217789,72.33000000000001,0.0,1.0
so,6.52,-7.675036489988206,101.8,0.0,1.0
his,6.51,-7.463263926541474,33.175,0.5,0.5
they,6.5,-11.792446325141302,81.68,0.0,1.0
me,6.48,-7.453849248394757,140.08000000000004,0.0,1.0
if,6.47,-7.423591678137222,31.900000000000002,0.5,0.5
one,6.47,-8.261981132230492,43.14,0.5,0.5
can,6.46,-4.9668020102851065,36.309999999999995,0.5,0.5
will,6.45,-5.916654178796256,53.425,0.5,0.5
just,6.43,-6.068729685456625,6.055,0.5,0.5
like,6.41,-7.100519702146931,75.62,0.0,1.0
about,6.4,-7.368880647152274,0.0,0.0,1.0
up,6.39,-7.955146865909093,32.75,0.0,1.0
out,6.38,-7.602791583114877,44.67999999999999,0.0,1.0
what,6.38,-8.669801260227034,27.560000000000002,0.5,0.5
has,6.37,-7.115591902723165,31.939999999999998,0.5,0.5
when,6.37,-6.740290313670293,42.167500000000004,1.0,0.25
more,6.36,-6.2315484686966025,45.660000000000004,0.0,1.0
do,6.35,-7.575884130194953,84.88,0.0,1.0
no,6.35,-7.393071052132808,91.07,0.0,1.0
were,6.34,-7.926165274374398,58.75999999999999,0.5,0.5
who,6.34,-8.549853973655786,104.31999999999996,0.0,1.0
had,6.33,-6.753436903213792,78.26,0.0,1.0
their,6.33,-8.099768832716553,68.27,0.0,1.0
there,6.31,-8.099768832716553,68.27,0.0,1.0
her,6.3,-8.186712240888081,64.65,0.5,0.5
